name,resume,degree,field_of_study,GPA,years_of_experience,age,shortlisted
Mrs. Karen Hanna,"Mrs. Karen Hanna is a MSc graduate with 0.5 years of experience in software development. They are proficient in technologies such as React, SQL, C++, Java. Work Highlights: - Contributed to a game engine development in C++ focusing on rendering optimizations. - Implemented end-to-end encryption for data at rest and in transit using TLS.",MSc,Electronics,6.01,0.5,21,0
Lauren Hebert,"Lauren Hebert is a MSc graduate with 4.6 years of experience in software development. They are proficient in technologies such as SQL, React, Java, Python. Work Highlights: - Conducted performance profiling and identified bottlenecks in a Java application, recommending optimizations. - Implemented server-side rendering (SSR) for a Next.js application, improving SEO and initial load times.",MSc,Computer Science,9.65,4.6,28,1
Carol Jones,"Carol Jones is a B.Tech graduate with 2.9 years of experience in software development. They are proficient in technologies such as HTML, CSS, Python. Work Highlights: - Built a desktop application with Electron and React, providing cross-platform compatibility. - Built a secure file upload service using AWS S3 and pre-signed URLs.",B.Tech,Information Technology,6.81,2.9,29,0
Sarah Owens,"Sarah Owens is a BSc graduate with 1.1 years of experience in software development. They are proficient in technologies such as Node.js, Django, JavaScript. Work Highlights: - Designed and developed a user role and permission management system for an enterprise application. - Developed a RESTful API service using Node.js and Express, supporting user authentication and data persistence with MongoDB.",BSc,Computer Science,8.15,1.1,32,0
Jessica Reid,"Jessica Reid is a BSc graduate with 4.2 years of experience in software development. They are proficient in technologies such as SQL, CSS, Java, Python. Work Highlights: - Contributed to the development of a real-time analytics dashboard with Apache Flink. - Automated infrastructure provisioning using Ansible playbooks for server setup and configuration.",BSc,Electronics,8.53,4.2,23,1
Brianna Herring,"Brianna Herring is a M.Tech graduate with 3.7 years of experience in software development. They are proficient in technologies such as Django, SQL, CSS, HTML, React. Work Highlights: - Refactored a large JavaScript codebase to TypeScript, improving type safety and maintainability. - Implemented robust caching strategies using Memcached for frequently accessed data.",M.Tech,Information Technology,8.63,3.7,31,0
Lori Perkins,"Lori Perkins is a B.Tech graduate with 0.2 years of experience in software development. They are proficient in technologies such as HTML, JavaScript, Python, C++, SQL, CSS. Work Highlights: - Designed and implemented a robust error logging and monitoring system using ELK stack (Elasticsearch, Logstash, Kibana). - Designed and developed a user role and permission management system for an enterprise application.",B.Tech,Computer Science,8.02,0.2,27,1
Courtney Welch,"Courtney Welch is a MSc graduate with 1.2 years of experience in software development. They are proficient in technologies such as CSS, SQL, JavaScript. Work Highlights: - Contributed to a game engine development in C++ focusing on rendering optimizations. - Refactored a large JavaScript codebase to TypeScript, improving type safety and maintainability.",MSc,Electronics,8.1,1.2,21,0
Carlos Armstrong,"Carlos Armstrong is a B.Tech graduate with 1.6 years of experience in software development. They are proficient in technologies such as React, CSS, HTML, JavaScript, Node.js. Work Highlights: - Built a CI/CD pipeline using Jenkins and Docker for automated deployment of Python web services. - Created data ingestion pipelines with Apache Kafka and Spark, processing large volumes of streaming data.",B.Tech,Information Technology,6.98,1.6,25,0
Yvette Morgan,"Yvette Morgan is a MSc graduate with 2.9 years of experience in software development. They are proficient in technologies such as Node.js, Django, C++, React, SQL. Work Highlights: - Configured Continuous Deployment with GitLab CI for multi-stage deployments. - Implemented A/B testing frameworks within a web application to optimize user engagement.",MSc,Computer Science,6.6,2.9,32,0
Vanessa Maldonado,"Vanessa Maldonado is a BSc graduate with 1.7 years of experience in software development. They are proficient in technologies such as CSS, React, Django, JavaScript, SQL, C++. Work Highlights: - Implemented distributed tracing with OpenTelemetry for microservices monitoring. - Managed package dependencies and build processes with npm and Yarn.",BSc,Electronics,8.02,1.7,23,0
Kaitlyn Watson,"Kaitlyn Watson is a M.Tech graduate with 4.1 years of experience in software development. They are proficient in technologies such as C++, Java, HTML, JavaScript. Work Highlights: - Built a secure payment gateway integration using PCI DSS compliance standards. - Developed mobile application features for iOS using Swift, integrating with Firebase for real-time data.",M.Tech,Computer Science,9.66,4.1,31,1
Christopher Perez,"Christopher Perez is a B.Tech graduate with 2.1 years of experience in software development. They are proficient in technologies such as SQL, Django, Python, Java, Node.js. Work Highlights: - Fixed critical bugs and improved error handling in a legacy Perl script for data synchronization. - Developed a chatbot using natural language processing (NLP) with spaCy and Python.",B.Tech,Computer Science,8.72,2.1,23,1
Laura Adams,"Laura Adams is a BSc graduate with 2.6 years of experience in software development. They are proficient in technologies such as Django, C++, Node.js, JavaScript, React, Java. Work Highlights: - Developed a GraphQL API with Apollo Server and Node.js for a new content management system. - Built a Progressive Web App (PWA) with Service Workers for offline capabilities.",BSc,Information Technology,9.83,2.6,29,1
Cody Rodriguez,"Cody Rodriguez is a B.Tech graduate with 5.0 years of experience in software development. They are proficient in technologies such as JavaScript, Django, CSS, SQL, React. Work Highlights: - Created data ingestion pipelines with Apache Kafka and Spark, processing large volumes of streaming data. - Configured Continuous Deployment with GitLab CI for multi-stage deployments.",B.Tech,Electronics,7.03,5.0,31,0
Melissa Bautista,"Melissa Bautista is a B.Tech graduate with 4.6 years of experience in software development. They are proficient in technologies such as C++, Java, Python, JavaScript, Django. Work Highlights: - Managed and scaled Docker Swarm clusters for container orchestration. - Built a secure file upload service using AWS S3 and pre-signed URLs.",B.Tech,Electronics,6.54,4.6,24,0
Ann Wells,"Ann Wells is a MSc graduate with 4.3 years of experience in software development. They are proficient in technologies such as SQL, Java, CSS, HTML. Work Highlights: - Developed a custom analytics dashboard using Power BI, integrating with various data sources. - Implemented a data migration script from SQL Server to PostgreSQL using Python.",MSc,Electronics,8.55,4.3,32,1
Jacob Obrien,"Jacob Obrien is a B.Tech graduate with 4.1 years of experience in software development. They are proficient in technologies such as Java, HTML, Python, JavaScript, SQL. Work Highlights: - Implemented end-to-end encryption for data at rest and in transit using TLS. - Collaborated on an Android application development using Kotlin, improving UI responsiveness.",B.Tech,Computer Science,8.34,4.1,31,1
Elaine Dean,"Elaine Dean is a M.Tech graduate with 3.6 years of experience in software development. They are proficient in technologies such as Python, HTML, SQL, CSS, JavaScript. Work Highlights: - Implemented real-time chat functionality using WebSockets and Node.js for a social networking app. - Created data ingestion pipelines with Apache Kafka and Spark, processing large volumes of streaming data.",M.Tech,Computer Science,6.01,3.6,24,0
Michael Braun,"Michael Braun is a B.Tech graduate with 4.2 years of experience in software development. They are proficient in technologies such as HTML, Node.js, SQL, CSS, JavaScript, React. Work Highlights: - Developed embedded software in C for an IoT device, managing sensor data acquisition. - Implemented rate limiting and API throttling for public-facing endpoints.",B.Tech,Electronics,8.79,4.2,34,1
Donald Gonzalez,"Donald Gonzalez is a B.Tech graduate with 0.3 years of experience in software development. They are proficient in technologies such as Python, SQL, C++, HTML, JavaScript. Work Highlights: - Automated infrastructure provisioning using Ansible playbooks for server setup and configuration. - Refactored a large JavaScript codebase to TypeScript, improving type safety and maintainability.",B.Tech,Computer Science,7.6,0.3,35,1
Sabrina Waller,"Sabrina Waller is a B.Tech graduate with 1.1 years of experience in software development. They are proficient in technologies such as React, Python, Java, C++, JavaScript, HTML. Work Highlights: - Managed and maintained Helm charts for Kubernetes application deployments. - Built a secure file upload service using AWS S3 and pre-signed URLs.",B.Tech,Electronics,6.34,1.1,31,0
Patricia Vaughan,"Patricia Vaughan is a B.Tech graduate with 2.2 years of experience in software development. They are proficient in technologies such as CSS, Node.js, SQL. Work Highlights: - Implemented a data migration script from SQL Server to PostgreSQL using Python. - Managed package dependencies and build processes with npm and Yarn.",B.Tech,Computer Science,7.7,2.2,23,0
Mary Cross,"Mary Cross is a BSc graduate with 2.7 years of experience in software development. They are proficient in technologies such as Django, Node.js, React, Java, C++, JavaScript. Work Highlights: - Created comprehensive API documentation using Swagger/OpenAPI for developer consumption. - Implemented message queues with RabbitMQ for asynchronous task processing.",BSc,Information Technology,6.13,2.7,24,0
Gloria Clark,"Gloria Clark is a M.Tech graduate with 1.9 years of experience in software development. They are proficient in technologies such as SQL, CSS, React, Python. Work Highlights: - Contributed to a high-performance message broker in Go, handling millions of messages daily. - Developed a RESTful API service using Node.js and Express, supporting user authentication and data persistence with MongoDB.",M.Tech,Electronics,8.04,1.9,22,0
Dale Coffey,"Dale Coffey is a BSc graduate with 5.2 years of experience in software development. They are proficient in technologies such as CSS, Java, Node.js, Python, HTML. Work Highlights: - Configured and maintained Prometheus and Grafana for system monitoring and alerting. - Developed a RESTful API service using Node.js and Express, supporting user authentication and data persistence with MongoDB.",BSc,Electronics,7.57,5.2,34,0
Kyle Clark,"Kyle Clark is a M.Tech graduate with 5.2 years of experience in software development. They are proficient in technologies such as HTML, Python, React, SQL, Java. Work Highlights: - Implemented robust data backup and recovery strategies for critical application data. - Developed mobile application features for iOS using Swift, integrating with Firebase for real-time data.",M.Tech,Information Technology,6.24,5.2,26,0
Rachel Barnes,"Rachel Barnes is a MSc graduate with 4.7 years of experience in software development. They are proficient in technologies such as Java, Node.js, C++, SQL, JavaScript, CSS. Work Highlights: - Implemented A/B testing frameworks within a web application to optimize user engagement. - Managed cloud infrastructure on AWS, provisioning EC2 instances, S3 buckets, and RDS databases using Terraform.",MSc,Computer Science,8.02,4.7,34,1
Tiffany Garcia,"Tiffany Garcia is a MSc graduate with 1.3 years of experience in software development. They are proficient in technologies such as CSS, SQL, C++, Node.js, HTML, JavaScript. Work Highlights: - Integrated third-party APIs (Stripe, Twilio) into an e-commerce platform built with Django. - Built a real-time dashboard using Vue.js and WebSockets to display sensor data.",MSc,Electronics,9.64,1.3,35,0
Debra Pierce,"Debra Pierce is a MSc graduate with 0.7 years of experience in software development. They are proficient in technologies such as SQL, Django, Python, React, C++, Node.js. Work Highlights: - Implemented distributed tracing with OpenTelemetry for microservices monitoring. - Authored comprehensive unit and integration tests with Jest and React Testing Library for a critical module.",MSc,Information Technology,6.28,0.7,31,0
Joel Long,"Joel Long is a BSc graduate with 4.3 years of experience in software development. They are proficient in technologies such as JavaScript, CSS, Python, HTML, Django. Work Highlights: - Improved database schema design and indexing for a MySQL database, boosting query performance. - Configured and maintained Prometheus and Grafana for system monitoring and alerting.",BSc,Information Technology,6.42,4.3,26,0
Danielle Warren,"Danielle Warren is a B.Tech graduate with 2.7 years of experience in software development. They are proficient in technologies such as Java, HTML, Django, C++, JavaScript. Work Highlights: - Managed and maintained Linux servers, ensuring system uptime and security. - Managed and optimized Elasticsearch clusters for full-text search capabilities.",B.Tech,Information Technology,9.05,2.7,21,1
Austin Adams,"Austin Adams is a BSc graduate with 2.2 years of experience in software development. They are proficient in technologies such as JavaScript, Node.js, Java, C++. Work Highlights: - Configured and maintained Prometheus and Grafana for system monitoring and alerting. - Managed and maintained Helm charts for Kubernetes application deployments.",BSc,Electronics,8.08,2.2,22,1
April King,"April King is a MSc graduate with 5.9 years of experience in software development. They are proficient in technologies such as Node.js, C++, CSS, React, SQL. Work Highlights: - Configured and maintained Prometheus and Grafana for system monitoring and alerting. - Developed a RESTful API service using Node.js and Express, supporting user authentication and data persistence with MongoDB.",MSc,Computer Science,9.75,5.9,34,0
Joshua Sanchez,"Joshua Sanchez is a B.Tech graduate with 5.6 years of experience in software development. They are proficient in technologies such as JavaScript, Django, HTML. Work Highlights: - Participated in agile ceremonies (scrum, sprint planning, retrospectives) for project delivery. - Managed relational and NoSQL databases (Cassandra, Redis) in production environments.",B.Tech,Information Technology,9.93,5.6,23,0
Adrienne Cox,"Adrienne Cox is a MSc graduate with 4.5 years of experience in software development. They are proficient in technologies such as C++, CSS, Django. Work Highlights: - Implemented message queues with RabbitMQ for asynchronous task processing. - Refactored a large JavaScript codebase to TypeScript, improving type safety and maintainability.",MSc,Electronics,7.22,4.5,21,0
Ronald Davies,"Ronald Davies is a MSc graduate with 1.5 years of experience in software development. They are proficient in technologies such as C++, Django, Java, Node.js, HTML. Work Highlights: - Developed interactive data visualizations using D3.js for business intelligence dashboards. - Designed and implemented a distributed caching layer using Redis for frequently accessed data.",MSc,Information Technology,9.76,1.5,23,0
Kenneth Clark,"Kenneth Clark is a B.Tech graduate with 5.3 years of experience in software development. They are proficient in technologies such as Node.js, C++, HTML, JavaScript, Java, React. Work Highlights: - Integrated payment gateways (PayPal, Square) into a customer-facing web portal. - Authored comprehensive unit and integration tests with Jest and React Testing Library for a critical module.",B.Tech,Electronics,8.09,5.3,25,1
Susan Nelson,"Susan Nelson is a B.Tech graduate with 1.3 years of experience in software development. They are proficient in technologies such as SQL, Python, C++, CSS, Node.js. Work Highlights: - Performed security audits and penetration testing on web applications to identify vulnerabilities. - Implemented a responsive front-end dashboard with React and Redux, consuming data from multiple microservices.",B.Tech,Information Technology,7.89,1.3,27,0
Morgan Gross,"Morgan Gross is a BSc graduate with 1.0 years of experience in software development. They are proficient in technologies such as Django, React, SQL, Python, HTML. Work Highlights: - Optimized image delivery using WebP format and responsive image techniques. - Managed version control with Git and GitHub, conducting code reviews for junior developers.",BSc,Computer Science,9.37,1.0,29,0
Ronald Velazquez,"Ronald Velazquez is a MSc graduate with 3.8 years of experience in software development. They are proficient in technologies such as Python, Django, React, HTML, Java, Node.js. Work Highlights: - Refactored a large JavaScript codebase to TypeScript, improving type safety and maintainability. - Implemented end-to-end encryption for data at rest and in transit using TLS.",MSc,Information Technology,9.92,3.8,33,1
Julia Gentry,"Julia Gentry is a MSc graduate with 4.9 years of experience in software development. They are proficient in technologies such as React, JavaScript, SQL, C++. Work Highlights: - Designed and developed a user role and permission management system for an enterprise application. - Developed command-line tools in Go for internal development workflows and automation.",MSc,Computer Science,7.89,4.9,22,0
Courtney Patton,"Courtney Patton is a M.Tech graduate with 0.0 years of experience in software development. They are proficient in technologies such as JavaScript, CSS, Java. Work Highlights: - Developed algorithms for optimal resource allocation in a cloud computing environment using Python. - Implemented end-to-end encryption for data at rest and in transit using TLS.",M.Tech,Information Technology,7.07,0.0,30,0
Amy Bonilla,"Amy Bonilla is a BSc graduate with 1.9 years of experience in software development. They are proficient in technologies such as Django, React, Python. Work Highlights: - Designed and implemented a serverless function in AWS Lambda using Python for image processing. - Designed and implemented a distributed caching layer using Redis for frequently accessed data.",BSc,Electronics,8.68,1.9,35,0
Beth Yu,"Beth Yu is a MSc graduate with 3.5 years of experience in software development. They are proficient in technologies such as React, C++, Java. Work Highlights: - Collaborated on an Android application development using Kotlin, improving UI responsiveness. - Contributed to the development of a real-time analytics dashboard with Apache Flink.",MSc,Computer Science,7.1,3.5,30,0
Amanda Bradley,"Amanda Bradley is a M.Tech graduate with 4.4 years of experience in software development. They are proficient in technologies such as Java, CSS, SQL. Work Highlights: - Created serverless APIs using Azure Functions and C# for event-driven processing. - Designed and developed a user role and permission management system for an enterprise application.",M.Tech,Electronics,9.65,4.4,25,1
Teresa Norman,"Teresa Norman is a MSc graduate with 5.7 years of experience in software development. They are proficient in technologies such as SQL, Python, Django, React, CSS, C++. Work Highlights: - Improved build times for a large JavaScript project using Webpack optimizations. - Contributed to open-source project by submitting pull requests and reviewing code in Rust.",MSc,Information Technology,8.55,5.7,33,1
Anna Allen,"Anna Allen is a M.Tech graduate with 2.8 years of experience in software development. They are proficient in technologies such as React, Django, Node.js. Work Highlights: - Built a cross-platform mobile app using React Native, delivering a consistent user experience. - Implemented A/B testing frameworks within a web application to optimize user engagement.",M.Tech,Computer Science,9.8,2.8,31,0
Alyssa Thornton,"Alyssa Thornton is a B.Tech graduate with 3.7 years of experience in software development. They are proficient in technologies such as CSS, Java, SQL, JavaScript. Work Highlights: - Created data ingestion pipelines with Apache Kafka and Spark, processing large volumes of streaming data. - Built a cross-platform mobile app using React Native, delivering a consistent user experience.",B.Tech,Information Technology,7.88,3.7,29,1
Timothy Cummings,"Timothy Cummings is a BSc graduate with 0.6 years of experience in software development. They are proficient in technologies such as CSS, Django, Python, Java, React, C++. Work Highlights: - Contributed to the design and implementation of a new database indexing strategy. - Developed custom shaders and rendering pipelines in Unity for a 3D simulation.",BSc,Information Technology,6.55,0.6,34,0
Samantha Jones,"Samantha Jones is a MSc graduate with 3.9 years of experience in software development. They are proficient in technologies such as CSS, Python, HTML, Java, JavaScript, React. Work Highlights: - Implemented serverless functions using Google Cloud Functions for event-driven tasks. - Implemented robust caching strategies using Memcached for frequently accessed data.",MSc,Electronics,9.98,3.9,28,1
Daniel Sawyer,"Daniel Sawyer is a MSc graduate with 3.8 years of experience in software development. They are proficient in technologies such as SQL, Python, CSS. Work Highlights: - Designed and optimized SQL queries for a PostgreSQL database, improving report generation time by 15%. - Conducted performance profiling and identified bottlenecks in a Java application, recommending optimizations.",MSc,Electronics,9.58,3.8,26,1
Bryan Palmer,"Bryan Palmer is a B.Tech graduate with 1.8 years of experience in software development. They are proficient in technologies such as Node.js, Java, JavaScript, SQL. Work Highlights: - Optimized front-end asset loading using CDN and image optimization techniques. - Developed micro-frontends with Web Components for a modular application architecture.",B.Tech,Computer Science,9.15,1.8,34,1
Tabitha Ramirez,"Tabitha Ramirez is a M.Tech graduate with 4.7 years of experience in software development. They are proficient in technologies such as CSS, HTML, Java. Work Highlights: - Developed custom middleware for an Express.js application to handle request parsing. - Integrated Salesforce API for CRM data synchronization in an enterprise application.",M.Tech,Electronics,7.87,4.7,35,0
Jacob Pace,"Jacob Pace is a B.Tech graduate with 5.8 years of experience in software development. They are proficient in technologies such as Python, SQL, HTML, CSS. Work Highlights: - Managed and optimized Elasticsearch clusters for full-text search capabilities. - Created serverless APIs using Azure Functions and C# for event-driven processing.",B.Tech,Information Technology,7.82,5.8,22,0
Jessica Williams,"Jessica Williams is a BSc graduate with 4.8 years of experience in software development. They are proficient in technologies such as Python, SQL, CSS, JavaScript, HTML. Work Highlights: - Contributed to a large-scale Java Spring Boot application, focusing on API development and integration testing. - Developed algorithms for optimal resource allocation in a cloud computing environment using Python.",BSc,Information Technology,6.09,4.8,22,0
John Sheppard,"John Sheppard is a M.Tech graduate with 3.7 years of experience in software development. They are proficient in technologies such as Node.js, JavaScript, CSS. Work Highlights: - Integrated Salesforce API for CRM data synchronization in an enterprise application. - Implemented serverless functions using Google Cloud Functions for event-driven tasks.",M.Tech,Computer Science,7.03,3.7,34,0
Miranda Hardin,"Miranda Hardin is a MSc graduate with 3.5 years of experience in software development. They are proficient in technologies such as Java, C++, React, CSS. Work Highlights: - Developed custom middleware for an Express.js application to handle request parsing. - Managed Git repositories and implemented branching strategies (Gitflow) for team collaboration.",MSc,Computer Science,8.22,3.5,32,0
David Molina,"David Molina is a BSc graduate with 0.3 years of experience in software development. They are proficient in technologies such as Django, CSS, C++. Work Highlights: - Designed and optimized SQL queries for a PostgreSQL database, improving report generation time by 15%. - Implemented robust data backup and recovery strategies for critical application data.",BSc,Electronics,7.97,0.3,23,0
Mark Brady,"Mark Brady is a MSc graduate with 4.6 years of experience in software development. They are proficient in technologies such as Python, SQL, Node.js. Work Highlights: - Developed a custom analytics dashboard using Power BI, integrating with various data sources. - Managed Git repositories and implemented branching strategies (Gitflow) for team collaboration.",MSc,Electronics,6.85,4.6,29,0
Sylvia Romero,"Sylvia Romero is a B.Tech graduate with 1.0 years of experience in software development. They are proficient in technologies such as React, Node.js, C++, SQL. Work Highlights: - Automated infrastructure provisioning using Ansible playbooks for server setup and configuration. - Developed custom shaders and rendering pipelines in Unity for a 3D simulation.",B.Tech,Computer Science,6.79,1.0,29,0
Christopher Garcia,"Christopher Garcia is a M.Tech graduate with 5.0 years of experience in software development. They are proficient in technologies such as JavaScript, Node.js, React, Java, SQL, Django. Work Highlights: - Improved database schema design and indexing for a MySQL database, boosting query performance. - Implemented rate limiting and API throttling for public-facing endpoints.",M.Tech,Electronics,8.75,5.0,27,1
Bryan Gill,"Bryan Gill is a B.Tech graduate with 3.3 years of experience in software development. They are proficient in technologies such as Java, CSS, Python, SQL. Work Highlights: - Managed and maintained Linux servers, ensuring system uptime and security. - Deployed containerized applications to Azure Kubernetes Service (AKS), ensuring high availability.",B.Tech,Electronics,9.6,3.3,21,1
Shawn Edwards,"Shawn Edwards is a B.Tech graduate with 5.5 years of experience in software development. They are proficient in technologies such as React, Python, Java. Work Highlights: - Deployed containerized applications to Azure Kubernetes Service (AKS), ensuring high availability. - Developed data validation and cleansing scripts in Python for a data migration project.",B.Tech,Computer Science,6.55,5.5,29,0
Gordon Castro,"Gordon Castro is a MSc graduate with 3.6 years of experience in software development. They are proficient in technologies such as CSS, C++, HTML, Django, Python. Work Highlights: - Fixed critical bugs and improved error handling in a legacy Perl script for data synchronization. - Led the migration of a monolithic application to a microservices architecture using Kubernetes.",MSc,Computer Science,9.65,3.6,28,0
Stephanie Silva,"Stephanie Silva is a MSc graduate with 0.2 years of experience in software development. They are proficient in technologies such as HTML, C++, React, CSS, Node.js, Java. Work Highlights: - Implemented secure authentication flows using OAuth 2.0 and JWT in a Golang backend service. - Built a desktop application with Electron and React, providing cross-platform compatibility.",MSc,Electronics,9.13,0.2,33,0
Jay Rose,"Jay Rose is a BSc graduate with 2.1 years of experience in software development. They are proficient in technologies such as Django, HTML, React, Node.js, CSS. Work Highlights: - Built a Progressive Web App (PWA) with Service Workers for offline capabilities. - Developed data validation and cleansing scripts in Python for a data migration project.",BSc,Computer Science,8.18,2.1,27,0
Brianna Aguirre,"Brianna Aguirre is a BSc graduate with 5.7 years of experience in software development. They are proficient in technologies such as CSS, C++, React, SQL. Work Highlights: - Optimized image delivery using WebP format and responsive image techniques. - Wrote high-performance C++ modules for a real-time trading system, reducing execution latency.",BSc,Information Technology,6.09,5.7,30,0
Jamie Joyce,"Jamie Joyce is a B.Tech graduate with 0.6 years of experience in software development. They are proficient in technologies such as Django, Python, JavaScript, CSS. Work Highlights: - Developed embedded software in C for an IoT device, managing sensor data acquisition. - Managed and scaled Docker Swarm clusters for container orchestration.",B.Tech,Computer Science,6.44,0.6,22,0
Christine Jones DDS,"Christine Jones DDS is a BSc graduate with 3.1 years of experience in software development. They are proficient in technologies such as SQL, React, CSS, Java, HTML. Work Highlights: - Developed a RESTful API service using Node.js and Express, supporting user authentication and data persistence with MongoDB. - Improved database schema design and indexing for a MySQL database, boosting query performance.",BSc,Electronics,7.17,3.1,34,0
Erik Castillo,"Erik Castillo is a M.Tech graduate with 5.7 years of experience in software development. They are proficient in technologies such as JavaScript, Node.js, CSS, Django, Java, Python. Work Highlights: - Improved database schema design and indexing for a MySQL database, boosting query performance. - Developed a RESTful API service using Node.js and Express, supporting user authentication and data persistence with MongoDB.",M.Tech,Electronics,6.45,5.7,32,0
Terri Carter,"Terri Carter is a MSc graduate with 1.9 years of experience in software development. They are proficient in technologies such as Node.js, SQL, C++, React, JavaScript. Work Highlights: - Implemented secure authentication flows using OAuth 2.0 and JWT in a Golang backend service. - Implemented A/B testing frameworks within a web application to optimize user engagement.",MSc,Computer Science,7.23,1.9,28,0
Tracy Beasley,"Tracy Beasley is a B.Tech graduate with 2.4 years of experience in software development. They are proficient in technologies such as HTML, React, CSS, JavaScript, Java, Node.js. Work Highlights: - Implemented rate limiting and API throttling for public-facing endpoints. - Led the migration of a monolithic application to a microservices architecture using Kubernetes.",B.Tech,Electronics,8.38,2.4,31,1
Jacob Henderson,"Jacob Henderson is a BSc graduate with 6.0 years of experience in software development. They are proficient in technologies such as C++, JavaScript, CSS, React. Work Highlights: - Built a CI/CD pipeline using Jenkins and Docker for automated deployment of Python web services. - Improved build times for a large JavaScript project using Webpack optimizations.",BSc,Information Technology,6.46,6.0,33,0
Angel Taylor,"Angel Taylor is a MSc graduate with 3.9 years of experience in software development. They are proficient in technologies such as JavaScript, Java, React, SQL. Work Highlights: - Managed relational and NoSQL databases (Cassandra, Redis) in production environments. - Optimized image delivery using WebP format and responsive image techniques.",MSc,Electronics,6.28,3.9,24,0
Mrs. Loretta Taylor MD,"Mrs. Loretta Taylor MD is a B.Tech graduate with 5.4 years of experience in software development. They are proficient in technologies such as C++, JavaScript, Node.js. Work Highlights: - Deployed containerized applications to Azure Kubernetes Service (AKS), ensuring high availability. - Developed real-time bidding algorithms in Scala for an ad-tech platform.",B.Tech,Computer Science,8.0,5.4,34,0
Rachel Garcia,"Rachel Garcia is a MSc graduate with 4.2 years of experience in software development. They are proficient in technologies such as Django, HTML, React, Node.js. Work Highlights: - Implemented robust data backup and recovery strategies for critical application data. - Implemented secure authentication flows using OAuth 2.0 and JWT in a Golang backend service.",MSc,Computer Science,9.05,4.2,22,0
Emily Novak,"Emily Novak is a B.Tech graduate with 5.2 years of experience in software development. They are proficient in technologies such as JavaScript, Java, Node.js, Django. Work Highlights: - Contributed to a high-performance message broker in Go, handling millions of messages daily. - Designed and implemented a serverless function in AWS Lambda using Python for image processing.",B.Tech,Information Technology,7.87,5.2,31,0
Catherine Tate,"Catherine Tate is a B.Tech graduate with 1.9 years of experience in software development. They are proficient in technologies such as SQL, HTML, React, Java. Work Highlights: - Optimized Ruby on Rails application performance by refactoring ActiveRecord queries and caching strategies. - Implemented server-side rendering (SSR) for a Next.js application, improving SEO and initial load times.",B.Tech,Information Technology,7.66,1.9,29,0
Allison Peck,"Allison Peck is a B.Tech graduate with 4.0 years of experience in software development. They are proficient in technologies such as Django, Java, CSS, Python, Node.js. Work Highlights: - Built a cross-platform mobile app using React Native, delivering a consistent user experience. - Developed a command-line interface (CLI) tool in Python for cloud resource management.",B.Tech,Information Technology,6.44,4.0,24,0
Jenna Curtis,"Jenna Curtis is a B.Tech graduate with 1.5 years of experience in software development. They are proficient in technologies such as Node.js, CSS, React, C++, Java, SQL. Work Highlights: - Optimized database connection pooling and transaction management in a Java application. - Managed and troubleshooted Kafka clusters, ensuring reliable message delivery for analytics pipelines.",B.Tech,Electronics,9.34,1.5,23,0
Richard Krueger,"Richard Krueger is a BSc graduate with 3.7 years of experience in software development. They are proficient in technologies such as Django, JavaScript, React, Python, CSS, Java. Work Highlights: - Performed security audits and penetration testing on web applications to identify vulnerabilities. - Developed a chatbot using natural language processing (NLP) with spaCy and Python.",BSc,Electronics,9.98,3.7,22,1
Abigail Mason,"Abigail Mason is a MSc graduate with 3.1 years of experience in software development. They are proficient in technologies such as JavaScript, SQL, CSS, Node.js. Work Highlights: - Implemented a data migration script from SQL Server to PostgreSQL using Python. - Developed interactive data visualizations using D3.js for business intelligence dashboards.",MSc,Electronics,8.82,3.1,34,1
John Wallace,"John Wallace is a M.Tech graduate with 0.1 years of experience in software development. They are proficient in technologies such as Node.js, Java, React, HTML. Work Highlights: - Designed and implemented a distributed caching layer using Redis for frequently accessed data. - Implemented robust caching strategies using Memcached for frequently accessed data.",M.Tech,Computer Science,9.69,0.1,25,0
Paul Allen,"Paul Allen is a MSc graduate with 2.8 years of experience in software development. They are proficient in technologies such as Node.js, Django, JavaScript, React. Work Highlights: - Implemented real-time chat functionality using WebSockets and Node.js for a social networking app. - Managed package dependencies and build processes with npm and Yarn.",MSc,Information Technology,8.25,2.8,22,0
Henry Williams,"Henry Williams is a BSc graduate with 5.1 years of experience in software development. They are proficient in technologies such as SQL, Django, Java. Work Highlights: - Implemented end-to-end encryption for data at rest and in transit using TLS. - Optimized image delivery using WebP format and responsive image techniques.",BSc,Information Technology,8.09,5.1,31,1
Joseph Stein,"Joseph Stein is a MSc graduate with 3.1 years of experience in software development. They are proficient in technologies such as Node.js, JavaScript, Java, SQL, React. Work Highlights: - Managed package dependencies and build processes with npm and Yarn. - Contributed to a large-scale Java Spring Boot application, focusing on API development and integration testing.",MSc,Electronics,8.84,3.1,21,1
Robert Reyes,"Robert Reyes is a BSc graduate with 0.4 years of experience in software development. They are proficient in technologies such as HTML, Node.js, React, Python, JavaScript. Work Highlights: - Integrated Salesforce API for CRM data synchronization in an enterprise application. - Deployed containerized applications to Azure Kubernetes Service (AKS), ensuring high availability.",BSc,Electronics,8.7,0.4,28,0
Jennifer Schneider,"Jennifer Schneider is a MSc graduate with 3.5 years of experience in software development. They are proficient in technologies such as Python, Java, HTML. Work Highlights: - Implemented secure authentication flows using OAuth 2.0 and JWT in a Golang backend service. - Developed a GraphQL API with Apollo Server and Node.js for a new content management system.",MSc,Electronics,8.77,3.5,29,1
